,mean,std
0,0.3647020514490394,0.0069595832015070256
1,0.46642787365678934,0.009857085098606137
2,0.5197655486812114,0.011262452547823222
3,0.5616085965483556,0.00960659861539171
4,0.5838814718332791,0.010969033570720913
5,0.6024747639205471,0.010190403122927346
6,0.6151416476717682,0.011310271952385082
7,0.6265711494627157,0.010732652467647812
8,0.6328557473135787,0.010346533172639788
9,0.6404102898078803,0.012035248751843317
10,0.6462390100944317,0.01218879995395815
11,0.654379680885705,0.012818865916077593
12,0.6584500162813416,0.013728328360010969
13,0.6631716053402801,0.013160884271997991
14,0.6664278736567892,0.011388283450819475
15,0.6692608270921523,0.011292539463128394
16,0.6740475415174211,0.010549002737170347
17,0.6755454249430153,0.011541806185693393
18,0.6788016932595247,0.010189778793857532
19,0.6820253988928687,0.011195597905861776
20,0.6847606642787365,0.010771999396702769
21,0.0,0.0
